iter	RMSE
0	3739.069125
1	3509.212338
2	3301.092822
3	3109.568794
4	2934.225107
5	2772.503237
6	2625.914662
7	2492.218212
8	2371.95026
9	2265.046264
10	2148.717181
11	2039.925764
12	1938.441904
13	1847.026268
14	1755.365564
15	1673.840667
16	1597.622225
17	1530.201811
18	1465.214696
19	1404.273193
20	1350.266078
21	1300.117361
22	1254.231338
23	1212.158744
24	1175.673957
25	1140.607784
26	1101.708266
27	1069.53725
28	1041.705815
29	1012.43778
30	987.3707752
31	962.1977654
32	939.85111
33	919.6367337
34	903.3287221
35	886.7270766
36	871.4429982
37	857.4188051
38	843.3219068
39	832.0689923
40	819.8839526
41	807.9502544
42	797.27762
43	786.0260508
44	776.3198465
45	768.8605992
46	760.7603787
47	753.5286504
48	744.6544168
49	738.6642627
50	731.5549671
51	724.5356216
52	719.3883208
53	714.1512635
54	709.6178525
55	704.2853564
56	699.5179815
57	695.0049657
58	691.1229715
59	687.6852111
60	682.9548386
61	680.5847814
62	677.0879856
63	672.7743324
64	670.1474769
65	667.2591949
66	664.7447615
67	662.2547093
68	659.6475268
69	657.627643
70	655.4927629
71	652.3610481
72	650.1914958
73	648.1874396
74	645.7216891
75	643.5371223
76	642.1317209
77	641.0748563
78	639.4822183
79	637.7444291
80	636.5970157
81	633.3930685
82	632.2943035
83	631.2580183
84	628.5840643
85	627.4323241
86	625.7480897
87	624.5569737
88	623.4288099
89	621.3587433
90	620.5490769
91	619.589861
92	618.5270565
93	617.36146
94	615.8284313
95	613.4516253
96	612.3306143
97	611.5301433
98	610.8759064
99	609.5687399
100	608.0597079
101	607.3097297
102	606.0015824
103	604.8661133
104	604.1426083
105	603.4990129
106	602.7881301
107	602.0713102
108	600.7870536
109	599.6138707
110	598.2536337
111	597.3167866
112	596.3787289
113	595.5796345
114	594.9270438
115	594.1801992
116	593.404426
117	593.0347322
118	592.7096775
119	592.291583
120	591.5686315
121	590.7589218
122	589.5992589
123	589.3467615
124	589.0383311
125	588.2586786
126	587.9430749
127	586.6685913
128	586.1181376
129	585.9046127
130	585.3444064
131	584.9778325
132	584.4914345
133	583.6952465
134	583.23745
135	582.7460545
136	581.883641
137	581.5759135
138	581.1999271
139	580.5965468
140	579.9344228
141	579.0849128
142	578.7937329
143	578.5990776
144	577.9090634
145	577.5600995
146	577.1337609
147	576.8956993
148	576.5186887
149	576.1562705
150	575.6980502
151	575.0301291
152	574.375861
153	574.2500236
154	573.7280026
155	573.4702876
156	572.9020791
157	572.5386321
158	572.15619
159	571.9237802
160	571.6391629
161	571.0235798
162	570.5793721
163	570.3013285
164	570.1369436
165	569.7600313
166	569.5105669
167	569.2460584
168	568.8361926
169	568.3513454
170	568.0195636
171	567.6508187
172	566.9929845
173	566.7364613
174	566.5602922
175	566.2582858
176	566.0347551
177	565.8225987
178	565.6018708
179	565.2609672
180	564.9868741
181	564.7646513
182	564.5045868
183	564.0428613
184	563.4865257
185	563.2371794
186	562.7056871
187	562.4350607
188	562.0827802
189	561.888371
190	561.6460665
191	561.3583393
192	561.0654902
193	560.9396144
194	560.0903817
195	559.7907216
196	559.4937423
197	559.4547264
198	559.1835207
199	558.9406929
200	558.3989419
201	558.0095124
202	557.8527099
203	557.610615
204	557.2013127
205	556.4851949
206	556.1569814
207	555.9998931
208	555.5516713
209	555.2619187
210	554.9034332
211	554.3489258
212	554.1786788
213	554.0019448
214	553.9108804
215	553.7641076
216	553.6764359
217	553.3078166
218	552.9562818
219	552.9439763
220	552.9039866
221	552.8082083
222	552.765342
223	552.4216139
224	552.0363036
225	551.6090905
226	551.5584191
227	551.2784568
228	551.2317249
229	551.1199446
230	550.6995491
231	550.5137487
232	550.4006107
233	550.2197089
234	550.0170431
235	549.7479164
236	549.7043445
237	549.1134456
238	548.6879826
239	548.3768233
240	547.6781293
241	547.4847483
242	547.4482927
243	546.8458661
244	546.8128749
245	546.7016495
246	546.6958866
247	546.3653526
248	546.3313748
249	546.1908247
250	546.1809189
251	546.1742093
252	545.9090344
253	545.6340575
254	545.4813921
255	545.2047319
256	545.1948482
257	544.8780038
258	544.3653038
259	544.0287787
260	544.0156523
261	543.8464796
262	543.6057061
263	543.1528096
264	542.6528132
265	542.3485617
266	542.3173207
267	542.147067
268	542.1129251
269	541.8351872
270	541.6228456
271	541.331964
272	541.2021867
273	541.0528448
274	540.7054209
275	540.6782794
276	540.3946765
277	540.3400168
278	540.1057318
279	540.0808649
280	539.6901991
281	539.4639871
282	539.4542136
283	539.345714
284	539.341408
285	539.0076333
286	538.8885719
287	538.6292963
288	538.613598
289	538.3624264
290	538.3498862
291	538.2044347
292	538.0627638
293	537.8796629
294	537.8652726
295	537.6653877
296	537.1978075
297	536.8518868
298	536.6889369
299	536.4118247
300	536.233344
301	536.0822034
302	535.8478373
303	535.6231862
304	535.271953
305	535.2275196
306	535.1194275
307	535.023784
308	534.8252674
309	534.8120209
310	534.6735627
311	534.5118411
312	534.4995265
313	534.3708822
314	534.3401336
315	534.2198691
316	534.0764042
317	533.9402227
318	533.7783623
319	533.5945494
320	533.1651576
321	532.9732752
322	532.6894046
323	532.4795053
324	532.3628425
325	532.3257492
326	532.0938757
327	531.9097215
328	531.5408659
329	531.3321686
330	531.1592144
331	531.1549233
332	530.9280643
333	530.9185194
334	530.8640116
335	530.7350212
336	530.6620929
337	530.4221994
338	529.8806297
339	529.8259409
340	529.5086341
341	529.386114
342	529.0680708
343	529.0557969
344	528.7750434
345	528.5007262
346	528.4972273
347	528.0919296
348	527.9488729
349	527.7208505
350	527.5905087
351	527.3981597
352	527.1404585
353	527.026181
354	526.8917791
355	526.659805
356	526.4277856
357	526.3311157
358	526.1950827
359	526.0065178
360	525.6739291
361	525.4872456
362	525.3910205
363	525.3686334
364	525.3193361
365	524.9893404
366	524.8841804
367	524.700939
368	524.5889238
