iter	Passed	Remaining
0	38	38774
1	75	37634
2	118	39340
3	162	40364
4	199	39680
5	245	40675
6	283	40171
7	320	39792
8	357	39388
9	392	38891
10	437	39322
11	471	38792
12	503	38198
13	535	37698
14	571	37527
15	604	37155
16	637	36848
17	667	36392
18	702	36263
19	733	35925
20	765	35707
21	800	35582
22	832	35357
23	863	35112
24	895	34921
25	927	34757
26	958	34533
27	989	34341
28	1020	34179
29	1050	33950
30	1085	33920
31	1118	33845
32	1148	33649
33	1178	33487
34	1210	33374
35	1245	33342
36	1275	33189
37	1309	33151
38	1343	33103
39	1380	33125
40	1410	32996
41	1441	32876
42	1477	32889
43	1508	32766
44	1540	32686
45	1575	32669
46	1612	32687
47	1645	32636
48	1679	32587
49	1710	32508
50	1743	32437
51	1773	32333
52	1804	32250
53	1836	32178
54	1869	32122
55	1900	32029
56	1930	31941
57	1960	31838
58	1991	31767
59	2023	31701
60	2055	31633
61	2090	31619
62	2120	31538
63	2151	31458
64	2184	31418
65	2221	31434
66	2254	31399
67	2288	31370
68	2328	31424
69	2370	31487
70	2411	31556
71	2444	31508
72	2475	31429
73	2510	31410
74	2543	31370
75	2574	31303
76	2605	31227
77	2636	31166
78	2667	31102
79	2697	31026
80	2727	30942
81	2756	30860
82	2792	30849
83	2826	30824
84	2857	30760
85	2892	30738
86	2922	30667
87	2954	30621
88	2989	30600
89	3020	30541
90	3056	30531
91	3091	30512
92	3125	30483
93	3158	30441
94	3191	30401
95	3222	30341
96	3253	30284
97	3286	30247
98	3321	30226
99	3351	30160
100	3381	30099
101	3416	30080
102	3447	30023
103	3479	29979
104	3508	29904
105	3541	29869
106	3578	29862
107	3613	29847
108	3649	29836
109	3682	29793
110	3712	29731
111	3745	29698
112	3775	29635
113	3804	29570
114	3837	29528
115	3866	29468
116	3900	29437
117	3932	29392
118	3965	29357
119	3999	29329
120	4028	29265
121	4061	29227
122	4089	29161
123	4131	29186
124	4168	29177
125	4196	29109
126	4230	29077
127	4264	29049
128	4294	28998
129	4328	28968
130	4360	28928
131	4395	28903
132	4428	28866
133	4458	28811
134	4487	28754
135	4524	28744
136	4552	28674
137	4584	28639
138	4628	28669
139	4660	28629
140	4694	28599
141	4726	28557
142	4755	28500
143	4786	28452
144	4819	28421
145	4851	28380
146	4886	28352
147	4920	28324
148	4953	28288
149	4988	28268
150	5024	28247
151	5057	28216
152	5090	28182
153	5128	28171
154	5163	28148
155	5199	28130
156	5231	28089
157	5263	28049
158	5293	27998
159	5329	27978
160	5362	27944
161	5397	27918
162	5430	27883
163	5463	27848
164	5496	27814
165	5529	27779
166	5560	27735
167	5592	27696
168	5624	27655
169	5660	27637
170	5695	27612
171	5730	27584
172	5762	27545
173	5794	27506
174	5828	27478
175	5858	27429
176	5894	27406
177	5924	27358
178	5960	27337
179	5994	27309
180	6027	27274
181	6063	27251
182	6091	27196
183	6124	27160
184	6157	27124
185	6184	27065
186	6215	27021
187	6248	26988
188	6281	26955
189	6310	26902
190	6344	26871
191	6374	26823
192	6408	26796
193	6439	26751
194	6465	26688
195	6494	26641
196	6529	26614
197	6556	26557
198	6589	26523
199	6621	26487
200	6652	26445
201	6690	26428
202	6722	26394
203	6759	26374
204	6795	26351
205	6822	26295
206	6853	26253
207	6887	26223
208	6925	26211
209	6963	26196
210	6997	26167
211	7030	26133
212	7065	26106
213	7099	26076
214	7130	26035
215	7158	25982
216	7191	25948
217	7227	25925
218	7261	25896
219	7296	25870
220	7330	25840
221	7361	25796
222	7390	25750
223	7426	25726
224	7460	25697
225	7490	25654
226	7520	25609
227	7556	25584
228	7582	25527
229	7612	25486
230	7651	25471
231	7685	25442
232	7712	25388
233	7753	25382
234	7786	25348
235	7814	25298
236	7843	25252
237	7871	25201
238	7905	25170
239	7940	25143
240	7974	25115
241	8008	25085
242	8037	25039
243	8066	24993
244	8100	24964
245	8136	24939
246	8169	24905
247	8204	24878
248	8229	24821
249	8259	24778
250	8288	24733
251	8317	24689
252	8350	24655
253	8382	24618
254	8413	24579
255	8445	24546
256	8473	24498
257	8508	24469
258	8536	24423
259	8580	24422
260	8611	24381
261	8642	24343
262	8677	24316
263	8714	24294
264	8742	24247
265	8776	24218
266	8808	24182
267	8843	24154
268	8869	24102
269	8901	24066
270	8937	24041
271	8973	24016
272	9009	23991
273	9049	23978
274	9087	23956
275	9114	23909
276	9146	23873
277	9182	23848
278	9219	23826
279	9246	23776
280	9276	23735
281	9313	23713
282	9345	23678
283	9379	23646
284	9411	23610
285	9441	23569
286	9469	23525
287	9499	23485
288	9525	23434
289	9558	23402
290	9589	23363
291	9620	23326
292	9655	23298
293	9686	23261
294	9717	23223
295	9752	23196
296	9783	23157
297	9815	23122
298	9850	23094
299	9882	23060
300	9913	23022
301	9947	22991
302	9988	22976
303	10022	22947
304	10062	22929
305	10105	22919
306	10140	22891
307	10181	22875
308	10214	22841
309	10243	22799
310	10275	22764
311	10310	22736
312	10337	22689
313	10371	22659
314	10403	22623
315	10439	22595
316	10479	22577
317	10513	22548
318	10549	22520
319	10583	22490
320	10614	22452
321	10644	22413
